length,probability_a,probability_b,optimal_lipschitz_function
2.099999999999999922e-01,1.078792505653718547e-27,2.621716502210219945e-94,2.100000000000000477e-01
2.200000000000000011e-01,4.941143871550500584e-28,3.769261204826581439e-93,2.200000000000000566e-01
2.300000000000000100e-01,1.703459855547036719e-27,5.179249048570114873e-92,2.300000000000000655e-01
2.399999999999999911e-01,1.043284149911077527e-28,6.814592212636346583e-91,2.400000000000000744e-01
2.500000000000000000e-01,4.111051751662999867e-27,8.600640984783313845e-90,2.500000000000000555e-01
2.600000000000000089e-01,6.916722030959536872e-27,1.042883447940993227e-88,2.600000000000000644e-01
2.700000000000000178e-01,2.477214351178531265e-27,1.216741643521310793e-87,2.700000000000000733e-01
2.800000000000000266e-01,2.862662739175567747e-27,1.367777548178762325e-86,2.800000000000000822e-01
2.899999999999999800e-01,2.074471782057266895e-28,1.483344680735291553e-85,2.900000000000000910e-01
2.999999999999999889e-01,2.836099982052707175e-27,1.553801773798025353e-84,3.000000000000000999e-01
3.099999999999999978e-01,4.560563088178172713e-27,1.573836441527113057e-83,3.100000000000001088e-01
3.200000000000000067e-01,6.696835866734793044e-27,1.543074484206752641e-82,3.200000000000001177e-01
3.300000000000000155e-01,1.583534408310374884e-27,1.465893833406826877e-81,3.300000000000001266e-01
3.400000000000000244e-01,5.622011540642567122e-27,1.350536005540435210e-80,3.400000000000001354e-01
3.500000000000000333e-01,1.286720265941967580e-27,1.207742607374617841e-79,3.500000000000001443e-01
3.599999999999999867e-01,4.419278098868040381e-27,1.049210312083881905e-78,3.600000000000001532e-01
3.699999999999999956e-01,6.812337512765301632e-27,8.861486610915025710e-78,3.700000000000001621e-01
3.800000000000000044e-01,3.004926778244879542e-27,7.281561817926994793e-77,3.800000000000001710e-01
3.900000000000000133e-01,1.002753104727965692e-27,5.825295669504917055e-76,3.900000000000001799e-01
4.000000000000000222e-01,2.186911073888148837e-27,4.540181376953506736e-75,4.000000000000001887e-01
4.100000000000000311e-01,5.604248709293083953e-27,3.449549972924892874e-74,4.100000000000001976e-01
4.199999999999999845e-01,5.691051317822193633e-28,2.556494187909920872e-73,4.200000000000002065e-01
4.299999999999999933e-01,2.615884425130301925e-28,1.849129245843003976e-72,4.300000000000002154e-01
4.400000000000000022e-01,1.299222339884984330e-26,1.306066969854377570e-71,4.400000000000002243e-01
4.500000000000000111e-01,3.811142749787422393e-27,9.012897180498643599e-71,4.500000000000002331e-01
4.600000000000000200e-01,1.203158058395247160e-26,6.079661264103505401e-70,4.600000000000002420e-01
4.700000000000000289e-01,1.656175080854611501e-27,4.010664369018502026e-69,4.700000000000002509e-01
4.799999999999999822e-01,1.356492860258185597e-27,2.588645358328917066e-68,4.800000000000002598e-01
4.899999999999999911e-01,8.799115329119420477e-28,1.635450148966311773e-67,4.900000000000002687e-01
5.000000000000000000e-01,1.634952905826827794e-28,1.011794185431485443e-66,5.000000000000002220e-01
5.100000000000000089e-01,1.519709226364284973e-27,6.132133376158181166e-66,5.100000000000002309e-01
5.200000000000000178e-01,2.309982470070865739e-27,3.642195303295135267e-65,5.200000000000002398e-01
5.300000000000000266e-01,4.205617171224886985e-28,2.120842452936528471e-64,5.300000000000002487e-01
5.400000000000000355e-01,1.615104592561528272e-27,1.211162553869321694e-63,5.400000000000002576e-01
5.500000000000000444e-01,8.793101399560903674e-29,6.785704487959540592e-63,5.500000000000002665e-01
5.600000000000000533e-01,1.208721730951709082e-29,3.731042466309616341e-62,5.600000000000002753e-01
5.700000000000000622e-01,1.056083727104309725e-27,2.013943862078950703e-61,5.700000000000002842e-01
5.799999999999999600e-01,3.275225588923053418e-27,1.067531760655331541e-60,5.800000000000002931e-01
5.899999999999999689e-01,1.668640081933125944e-27,5.558534545716489643e-60,5.900000000000003020e-01
5.999999999999999778e-01,2.019078737304018324e-28,2.843880318796411455e-59,6.000000000000003109e-01
6.099999999999999867e-01,2.419411294691256639e-28,1.430062899736046006e-58,6.100000000000003197e-01
6.199999999999999956e-01,7.685273095501546847e-28,7.069833259307784705e-58,6.200000000000003286e-01
6.300000000000000044e-01,2.446973629834608685e-28,3.437059591108374887e-57,6.300000000000003375e-01
6.400000000000000133e-01,3.267714032143151852e-27,1.643610486871518696e-56,6.400000000000003464e-01
6.500000000000000222e-01,5.864700005498746045e-28,7.733060221130969774e-56,6.500000000000003553e-01
6.600000000000000311e-01,9.326065639919836626e-28,3.580535502413261725e-55,6.600000000000003642e-01
6.700000000000000400e-01,2.739302505899117116e-27,1.631883089972238792e-54,6.700000000000003730e-01
6.800000000000000488e-01,5.641441204305528371e-27,7.322712307571993290e-54,6.800000000000003819e-01
6.900000000000000577e-01,8.632413671085706539e-28,3.235872141847679991e-53,6.900000000000003908e-01
7.000000000000000666e-01,8.143588206147505782e-28,1.408442299043545528e-52,7.000000000000003997e-01
7.099999999999999645e-01,6.361061329462528289e-28,6.039547141635362340e-52,7.100000000000004086e-01
7.199999999999999734e-01,4.947768626331218776e-27,2.551961415455970607e-51,7.200000000000004174e-01
7.299999999999999822e-01,4.089527912160850377e-27,1.062753804336016381e-50,7.300000000000004263e-01
7.399999999999999911e-01,8.603006393952170644e-28,4.362768926705578745e-50,7.400000000000004352e-01
7.500000000000000000e-01,1.010379839120620954e-26,1.765804766902525108e-49,7.500000000000004441e-01
7.600000000000000089e-01,5.097264268873484378e-27,7.047773499275017546e-49,7.600000000000004530e-01
7.700000000000000178e-01,1.499215380582423245e-27,2.774379073459856531e-48,7.700000000000004619e-01
7.800000000000000266e-01,5.151115601918475175e-27,1.077353324136806509e-47,7.800000000000004707e-01
7.900000000000000355e-01,1.826764085705226966e-27,4.127632505182813602e-47,7.900000000000004796e-01
8.000000000000000444e-01,8.953403779528827777e-28,1.560503055402903773e-46,8.000000000000004885e-01
8.100000000000000533e-01,2.424287523063349470e-27,5.822606529580716853e-46,8.100000000000004974e-01
8.200000000000000622e-01,2.723454655207428191e-27,2.144501253363447054e-45,8.200000000000005063e-01
8.300000000000000711e-01,1.108036848683403983e-26,7.797518643979328489e-45,8.300000000000005151e-01
8.399999999999999689e-01,6.584759106654371920e-28,2.799441914198379491e-44,8.400000000000005240e-01
8.499999999999999778e-01,3.559011337772747473e-27,9.925070313291983586e-44,8.500000000000005329e-01
8.599999999999999867e-01,5.788979716252372088e-27,3.475389985977264242e-43,8.600000000000005418e-01
8.699999999999999956e-01,2.711058984658600885e-27,1.202100167587280309e-42,8.700000000000005507e-01
8.800000000000000044e-01,2.668750682024007722e-27,4.107739763164075602e-42,8.800000000000005596e-01
8.900000000000000133e-01,6.098117688674868722e-28,1.386906017686065705e-41,8.900000000000005684e-01
9.000000000000000222e-01,1.118709694075380859e-27,4.627308216702661698e-41,9.000000000000005773e-01
9.100000000000000311e-01,2.451385270718480241e-27,1.525813079933035534e-40,9.100000000000005862e-01
9.200000000000000400e-01,2.948726155567745870e-27,4.973003901281053698e-40,9.200000000000005951e-01
9.300000000000000488e-01,1.400948311374510168e-27,1.602259082384082640e-39,9.300000000000006040e-01
9.400000000000000577e-01,5.664822570666169451e-28,5.103803848237089233e-39,9.400000000000006128e-01
9.500000000000000666e-01,1.298895353405715643e-28,1.607504691557339213e-38,9.500000000000006217e-01
9.599999999999999645e-01,1.092139031819059204e-27,5.006754341140770171e-38,9.600000000000006306e-01
9.699999999999999734e-01,6.080297759239074613e-28,1.542246510037669728e-37,9.700000000000006395e-01
9.799999999999999822e-01,1.099161795361893911e-28,4.698849539904969887e-37,9.800000000000006484e-01
9.899999999999999911e-01,2.409499636026595784e-28,1.416169778896862877e-36,9.900000000000006573e-01
1.000000000000000000e+00,5.548342580777667564e-27,4.222503773957081504e-36,1.000000000000000666e+00
1.010000000000000009e+00,1.076287783194971097e-27,1.245660597584055634e-35,1.010000000000000675e+00
1.020000000000000018e+00,1.633962670517782470e-27,3.636197991967638683e-35,1.020000000000000684e+00
1.030000000000000027e+00,9.363124592567270739e-28,1.050402527196779314e-34,1.030000000000000693e+00
1.040000000000000036e+00,5.997867713201348447e-28,3.003073415655873462e-34,1.040000000000000702e+00
1.050000000000000044e+00,1.592475621416302394e-27,8.498041111515496987e-34,1.050000000000000711e+00
1.060000000000000053e+00,8.182512813519070877e-28,2.380424218671397341e-33,1.060000000000000719e+00
1.070000000000000062e+00,7.723659196280460354e-27,6.601030994513833433e-33,1.070000000000000728e+00
1.080000000000000071e+00,1.220355347158445535e-27,1.812297815954744472e-32,1.080000000000000737e+00
1.090000000000000080e+00,1.048008510521080715e-26,4.926580097855236456e-32,1.090000000000000746e+00
1.100000000000000089e+00,1.402212914770686462e-27,1.326162781021603786e-31,1.100000000000000755e+00
1.110000000000000098e+00,2.075981057249398039e-27,3.535247996711336069e-31,1.110000000000000764e+00
1.120000000000000107e+00,2.362860797932381424e-27,9.333628422719884341e-31,1.120000000000000773e+00
1.130000000000000115e+00,3.216984323612560997e-27,2.440753294965837713e-30,1.130000000000000782e+00
1.140000000000000124e+00,3.519775902766963198e-27,6.322292502453304466e-30,1.140000000000000790e+00
1.150000000000000133e+00,3.209463031670590573e-28,1.622320221564063464e-29,1.150000000000000799e+00
1.159999999999999920e+00,9.719230685015579329e-28,4.124233699849219212e-29,1.160000000000000808e+00
1.169999999999999929e+00,1.193176466330682568e-28,1.038789296068150581e-28,1.170000000000000817e+00
1.179999999999999938e+00,1.917387618012330682e-27,2.592516049456968509e-28,1.180000000000000826e+00
1.189999999999999947e+00,8.317646563048098607e-29,6.411460432196401741e-28,1.190000000000000835e+00
1.199999999999999956e+00,6.260983320852957147e-28,1.571322091629854966e-27,1.200000000000000844e+00
1.209999999999999964e+00,7.152007220187458216e-27,3.816602273293293672e-27,1.210000000000000853e+00
1.219999999999999973e+00,1.026779802442594003e-27,9.188026377510606297e-27,1.220000000000000862e+00
1.229999999999999982e+00,3.292821561221431282e-27,2.192456160301301158e-26,1.230000000000000870e+00
1.239999999999999991e+00,5.199238341165152835e-27,5.185996266876282022e-26,1.240000000000000879e+00
1.250000000000000000e+00,6.993738555383995939e-27,1.216059586754355479e-25,1.250000000000000888e+00
1.260000000000000009e+00,2.065871433603828363e-26,2.827009130399909902e-25,1.260000000000000897e+00
1.270000000000000018e+00,1.386793893763529788e-26,6.515941085571246891e-25,1.270000000000000906e+00
1.280000000000000027e+00,6.752279364461814013e-26,1.489128313200641535e-24,1.280000000000000915e+00
1.290000000000000036e+00,1.027807003504602857e-25,3.374575568138620681e-24,1.290000000000000924e+00
1.300000000000000044e+00,3.712086134810848636e-25,7.583415958802946195e-24,1.300000000000000933e+00
1.310000000000000053e+00,6.038099700180488826e-25,1.690034219814681441e-23,1.310000000000000941e+00
1.320000000000000062e+00,1.464173889175866663e-24,3.735397652590850463e-23,1.320000000000000950e+00
1.330000000000000071e+00,3.059880671263916439e-24,8.188688425644921793e-23,1.330000000000000959e+00
1.340000000000000080e+00,7.335800105615229037e-24,1.780545504951841667e-22,1.340000000000000968e+00
1.350000000000000089e+00,1.586150037332335704e-23,3.840411210987065020e-22,1.350000000000000977e+00
1.360000000000000098e+00,3.682223428951511443e-23,8.216987717089895976e-22,1.360000000000000986e+00
1.370000000000000107e+00,7.942545772996152554e-23,1.744141794557951227e-21,1.370000000000000995e+00
1.380000000000000115e+00,1.756641375731536410e-22,3.672897629710327724e-21,1.380000000000001004e+00
1.390000000000000124e+00,3.838858565991279756e-22,7.673916101740646415e-21,1.390000000000001013e+00
1.400000000000000133e+00,8.281774515481607598e-22,1.590850734981213819e-20,1.400000000000001021e+00
1.409999999999999920e+00,1.771139291785805833e-21,3.272416964018553929e-20,1.410000000000001030e+00
1.419999999999999929e+00,3.767861658804634623e-21,6.679700517477174138e-20,1.420000000000001039e+00
1.429999999999999938e+00,7.954001324942675547e-21,1.353058362175689186e-19,1.430000000000001048e+00
1.439999999999999947e+00,1.665863512138805117e-20,2.720000450122747702e-19,1.440000000000001057e+00
1.449999999999999956e+00,3.459796312488903123e-20,5.426699329030730713e-19,1.450000000000001066e+00
1.459999999999999964e+00,7.134506986822902884e-20,1.074578187266046894e-18,1.460000000000001075e+00
1.469999999999999973e+00,1.459913012946648376e-19,2.112013128110662626e-18,1.470000000000001084e+00
1.479999999999999982e+00,2.964894369773217534e-19,4.120331082528989928e-18,1.480000000000001092e+00
1.489999999999999991e+00,5.975122502135882193e-19,7.979300613724406120e-18,1.490000000000001101e+00
1.500000000000000000e+00,1.194890592764013243e-18,1.533962655905482204e-17,1.500000000000001110e+00
1.510000000000000009e+00,2.372187970540362801e-18,2.927532784385778927e-17,1.510000000000001119e+00
1.520000000000000018e+00,4.673800054034316272e-18,5.546835473569917203e-17,1.520000000000001128e+00
1.530000000000000027e+00,9.140992921285014947e-18,1.043433082241634582e-16,1.530000000000001137e+00
1.540000000000000036e+00,1.774580150832822183e-17,1.948851451710243875e-16,1.540000000000001146e+00
1.550000000000000044e+00,3.419904027556116292e-17,3.614152412407897853e-16,1.550000000000001155e+00
1.560000000000000053e+00,6.542801193197781904e-17,6.655279775352472503e-16,1.560000000000001164e+00
1.570000000000000062e+00,1.242684749390120780e-16,1.216960833903514310e-15,1.570000000000001172e+00
1.580000000000000071e+00,2.343261967129189107e-16,2.209812315777338296e-15,1.580000000000001181e+00
1.590000000000000080e+00,4.386947668638116496e-16,3.984928479570354921e-15,1.590000000000001190e+00
1.600000000000000089e+00,8.154622237244029780e-16,7.136572045558956414e-15,1.600000000000001199e+00
1.610000000000000098e+00,1.505085356925071680e-15,1.269346446449906481e-14,1.610000000000001208e+00
1.620000000000000107e+00,2.758335388521899698e-15,2.242380365368722636e-14,1.620000000000001217e+00
1.630000000000000115e+00,5.019757431692473277e-15,3.934540108951354786e-14,1.630000000000001226e+00
1.640000000000000124e+00,9.071536614145152164e-15,6.857266723821604880e-14,1.640000000000001235e+00
1.650000000000000133e+00,1.628019635085927032e-14,1.187126673923236127e-13,1.650000000000001243e+00
1.660000000000000142e+00,2.901568949772893458e-14,2.041495502910986216e-13,1.660000000000001252e+00
1.669999999999999929e+00,5.135906299950426071e-14,3.487557112613580909e-13,1.670000000000001261e+00
1.679999999999999938e+00,9.028738221012586654e-14,5.918774155286715470e-13,1.680000000000001270e+00
1.689999999999999947e+00,1.576441924813812515e-13,9.979196270105844945e-13,1.690000000000001279e+00
1.699999999999999956e+00,2.733913210652928358e-13,1.671584544464026737e-12,1.700000000000001288e+00
1.709999999999999964e+00,4.709360502404582865e-13,2.781925962157664491e-12,1.710000000000001297e+00
1.719999999999999973e+00,8.057942960508230660e-13,4.600049440224374733e-12,1.720000000000001306e+00
1.729999999999999982e+00,1.369574531558995761e-12,7.557779920283570930e-12,1.730000000000001315e+00
1.739999999999999991e+00,2.312388008521672086e-12,1.233831121012164900e-11,1.740000000000001323e+00
1.750000000000000000e+00,3.878494438630940986e-12,2.001528114709746904e-11,1.750000000000001332e+00
1.760000000000000009e+00,6.462596299819319029e-12,3.226463508115005687e-11,1.760000000000001341e+00
1.770000000000000018e+00,1.069808015083812387e-11,5.168509724760051382e-11,1.770000000000001350e+00
1.780000000000000027e+00,1.759434728406267207e-11,8.227951151032470514e-11,1.780000000000001359e+00
1.790000000000000036e+00,2.874897207985268376e-11,1.301727169775115047e-10,1.790000000000001368e+00
1.800000000000000044e+00,4.667308860229186362e-11,2.046746652816000434e-10,1.800000000000001377e+00
1.810000000000000053e+00,7.528680025768263906e-11,3.198437480955227875e-10,1.810000000000001386e+00
1.820000000000000062e+00,1.206680059731589013e-10,4.967695357150411106e-10,1.820000000000001394e+00
1.830000000000000071e+00,1.921760039572405228e-10,7.668825599923636465e-10,1.830000000000001403e+00
1.840000000000000080e+00,3.041252812504564057e-10,1.176719488159940293e-09,1.840000000000001412e+00
1.850000000000000089e+00,4.782606818725836616e-10,1.794735389816350898e-09,1.850000000000001421e+00
1.860000000000000098e+00,7.473911460024207629e-10,2.720973925771232570e-09,1.860000000000001430e+00
1.870000000000000107e+00,1.160685378931983215e-09,4.100697609446237340e-09,1.870000000000001439e+00
1.880000000000000115e+00,1.791333383211408393e-09,6.143464085696526711e-09,1.880000000000001448e+00
1.890000000000000124e+00,2.747549837042140889e-09,9.149635314696481966e-09,1.890000000000001457e+00
1.900000000000000133e+00,4.188261299068137790e-09,1.354695421065384386e-08,1.900000000000001465e+00
1.910000000000000142e+00,6.345307057932505915e-09,1.994065250752640366e-08,1.910000000000001474e+00
1.919999999999999929e+00,9.554626690840942063e-09,2.918160468975798952e-08,1.920000000000001483e+00
1.929999999999999938e+00,1.429974876144466828e-08,4.245836132064985571e-08,1.930000000000001492e+00
1.939999999999999947e+00,2.127198257705908331e-08,6.142053132861350984e-08,1.940000000000001501e+00
1.949999999999999956e+00,3.145310752714929524e-08,8.834299061572402780e-08,1.950000000000001510e+00
1.959999999999999964e+00,4.622811792460474370e-08,1.263428291691130365e-07,1.960000000000001519e+00
1.969999999999999973e+00,6.753778949688351075e-08,1.796638648139321665e-07,1.970000000000001528e+00
1.979999999999999982e+00,9.808356581921634919e-08,2.540469976435630742e-07,1.980000000000001537e+00
1.989999999999999991e+00,1.416006048537114758e-07,3.572086931375293290e-07,1.990000000000001545e+00
2.000000000000000000e+00,2.032188550088465096e-07,4.994544847649722917e-07,2.000000000000001332e+00
2.010000000000000231e+00,2.899368264258269032e-07,6.944595735693675787e-07,2.010000000000001119e+00
2.020000000000000018e+00,4.112383437239188190e-07,9.602543326124260797e-07,2.020000000000000906e+00
2.030000000000000249e+00,5.798890445968444149e-07,1.320458711689842415e-06,2.030000000000000693e+00
2.040000000000000036e+00,8.129567205348799270e-07,1.805816037625938267e-06,2.040000000000000480e+00
2.049999999999999822e+00,1.133107718534701877e-06,2.456083302244321857e-06,2.050000000000000266e+00
2.060000000000000053e+00,1.570240409527968936e-06,3.322341425537758101e-06,2.060000000000000053e+00
2.069999999999999840e+00,2.163525945927680336e-06,4.469794783708290000e-06,2.069999999999999840e+00
2.080000000000000071e+00,2.963935848876584792e-06,5.981134006680927361e-06,2.079999999999999627e+00
2.089999999999999858e+00,4.037344914108047051e-06,7.960539077012638193e-06,2.089999999999999414e+00
2.100000000000000089e+00,5.468305878957249037e-06,1.053840039608895109e-05,2.099999999999999201e+00
2.109999999999999876e+00,7.364598478320930151e-06,1.387683292145139333e-05,2.109999999999998987e+00
2.120000000000000107e+00,9.862658975854488082e-06,1.817605183883001216e-05,2.119999999999998774e+00
2.129999999999999893e+00,1.313399586508796573e-05,2.368166658021006511e-05,2.129999999999998561e+00
2.140000000000000124e+00,1.739269195337098716e-05,3.069293238953090940e-05,2.139999999999998348e+00
2.149999999999999911e+00,2.290408101522590630e-05,3.957197416548654346e-05,2.149999999999998135e+00
2.160000000000000142e+00,2.999466729206954615e-05,5.075396517699624167e-05,2.159999999999997922e+00
2.169999999999999929e+00,3.906332672019865418e-05,6.475820283394926799e-05,2.169999999999997708e+00
2.180000000000000160e+00,5.059378872412321213e-05,8.219997465479121819e-05,2.179999999999997495e+00
2.189999999999999947e+00,6.516834537850301563e-05,1.038030499151070094e-04,2.189999999999997282e+00
2.200000000000000178e+00,8.348267012777552056e-05,1.304125666541448012e-04,2.199999999999997069e+00
2.209999999999999964e+00,1.063615506417794676e-04,1.630080107704106544e-04,2.209999999999996856e+00
2.220000000000000195e+00,1.347752501538474347e-04,2.027159054872800046e-04,2.219999999999996643e+00
2.229999999999999982e+00,1.698561100853331778e-04,2.508217478310849021e-04,2.229999999999996430e+00
2.240000000000000213e+00,2.129148957963380691e-04,3.087806469659299204e-04,2.239999999999996216e+00
2.250000000000000000e+00,2.654562704747359930e-04,3.782260410067685174e-04,2.249999999999996003e+00
2.260000000000000231e+00,3.291926633710885448e-04,4.609757986760634600e-04,2.259999999999995790e+00
2.270000000000000018e+00,4.060556839089058540e-04,5.590349548251862845e-04,2.269999999999995577e+00
2.280000000000000249e+00,4.982041286540533692e-04,6.745942897521090649e-04,2.279999999999995364e+00
2.290000000000000036e+00,6.080275417664578923e-04,8.100239469385075259e-04,2.289999999999995151e+00
2.300000000000000266e+00,7.381442295435020843e-04,9.678612977445145722e-04,2.299999999999994937e+00
2.310000000000000053e+00,8.913926044946192569e-04,1.150792309781860411e-03,2.309999999999994724e+00
2.319999999999999840e+00,1.070814752981060327e-03,1.361625762429757120e-03,2.319999999999994511e+00
2.330000000000000071e+00,1.279631190887028447e-03,1.603259781435710518e-03,2.329999999999994298e+00
2.339999999999999858e+00,1.521205900344986582e-03,1.878640336436563285e-03,2.339999999999994085e+00
2.350000000000000089e+00,1.799000933370904906e-03,2.190711560385289955e-03,2.349999999999993872e+00
2.359999999999999876e+00,2.116520126674675296e-03,2.542358005981753058e-03,2.359999999999993658e+00
2.370000000000000107e+00,2.477241796769003458e-03,2.936339246627746053e-03,2.369999999999993445e+00
2.379999999999999893e+00,2.884540670718919748e-03,3.375217551029597619e-03,2.379999999999993232e+00
2.390000000000000124e+00,3.341599748039575813e-03,3.861279701755873477e-03,2.389999999999993019e+00
2.399999999999999911e+00,3.851313271544196289e-03,4.396454376905153949e-03,2.399999999999992806e+00
2.410000000000000142e+00,4.416182492277042314e-03,4.982226856613931887e-03,2.409999999999992593e+00
2.419999999999999929e+00,5.038206427158456110e-03,5.619553136945350247e-03,2.419999999999992379e+00
2.430000000000000160e+00,5.718770303920904692e-03,6.308775816304892578e-03,2.429999999999992166e+00
2.439999999999999947e+00,6.458534840002401120e-03,7.049544347272319010e-03,2.439999999999991953e+00
2.450000000000000178e+00,7.257329886163520899e-03,7.840742403587595138e-03,2.449999999999991740e+00
2.459999999999999964e+00,8.114056251223794938e-03,8.680425183462641206e-03,2.459999999999991527e+00
2.470000000000000195e+00,9.026599690160817119e-03,9.565769444315979850e-03,2.469999999999991314e+00
2.479999999999999982e+00,9.991761060618201476e-03,1.049303893163547850e-02,2.479999999999991100e+00
2.490000000000000213e+00,1.100520651407892528e-02,1.145756762121591041e-02,2.489999999999990887e+00
2.500000000000000000e+00,1.206144128146689233e-02,1.245376283940968776e-02,2.499999999999990674e+00
2.510000000000000231e+00,1.315381013008738893e-02,1.347512986527847449e-02,2.509999999999990461e+00
2.520000000000000018e+00,1.427452691894917636e-02,1.451431906189460525e-02,2.519999999999990248e+00
2.530000000000000249e+00,1.541473487591194479e-02,1.556319594691975283e-02,2.529999999999990035e+00
2.540000000000000036e+00,1.656459828312863147e-02,1.661293391514700318e-02,2.539999999999989821e+00
2.550000000000000266e+00,1.771342522330876176e-02,1.765412859217024497e-02,2.549999999999989608e+00
2.560000000000000053e+00,1.884981994155941060e-02,1.867693205612907387e-02,2.559999999999989395e+00
2.569999999999999840e+00,1.996186226399592964e-02,1.967120444292866713e-02,2.569999999999989182e+00
2.580000000000000071e+00,2.103731043227752284e-02,2.062667977946242362e-02,2.579999999999988969e+00
2.589999999999999858e+00,2.206382270923979913e-02,2.153314229839839791e-02,2.589999999999988756e+00
2.600000000000000089e+00,2.302919223819555050e-02,2.238060900401035030e-02,2.599999999999988542e+00
2.609999999999999876e+00,2.392158893557638083e-02,2.315951390469132148e-02,2.609999999999988329e+00
2.620000000000000107e+00,2.472980170546888734e-02,2.386088912263912773e-02,2.619999999999988116e+00
2.629999999999999893e+00,2.544347401301411474e-02,2.447653804727538060e-02,2.629999999999987903e+00
2.640000000000000124e+00,2.605332585982093538e-02,2.499919582209821078e-02,2.639999999999987690e+00
2.649999999999999911e+00,2.655135547515152447e-02,2.542267274360085830e-02,2.649999999999987477e+00
2.660000000000000142e+00,2.693101457073758531e-02,2.574197659716808209e-02,2.659999999999987264e+00
2.669999999999999929e+00,2.718735177733879252e-02,2.595341054317123336e-02,2.669999999999987050e+00
2.680000000000000160e+00,2.731711986937932282e-02,2.605464387528518000e-02,2.679999999999986837e+00
2.689999999999999947e+00,2.731884354236369800e-02,2.604475377558235563e-02,2.689999999999986624e+00
2.700000000000000178e+00,2.719284579093892221e-02,2.592423705647592391e-02,2.679999999999986837e+00
2.709999999999999964e+00,2.694123229037340833e-02,2.569499177479975249e-02,2.669999999999987050e+00
2.720000000000000195e+00,2.656783455259806997e-02,2.536026949398098931e-02,2.659999999999987264e+00
2.729999999999999982e+00,2.607811395385268086e-02,2.492459982275105693e-02,2.649999999999987477e+00
2.740000000000000213e+00,2.547902995783530092e-02,2.439368964169387130e-02,2.639999999999987690e+00
2.750000000000000000e+00,2.477887694088881307e-02,2.377430011424262399e-02,2.629999999999987903e+00
2.760000000000000231e+00,2.398709491960535414e-02,2.307410514336493898e-02,2.619999999999988116e+00
2.770000000000000018e+00,2.311406015588387403e-02,2.230153536163668321e-02,2.609999999999988329e+00
2.780000000000000249e+00,2.217086205092959339e-02,2.146561201949912998e-02,2.599999999999988542e+00
2.790000000000000036e+00,2.116907292658817483e-02,2.057577525957245829e-02,2.589999999999988756e+00
2.800000000000000266e+00,2.012051723337156608e-02,1.964171123581118575e-02,2.579999999999988969e+00
2.810000000000000053e+00,1.903704643480937791e-02,1.867318236300962234e-02,2.569999999999989182e+00
2.819999999999999840e+00,1.793032531624967271e-02,1.767986467814263926e-02,2.559999999999989395e+00
2.830000000000000071e+00,1.681163478937543199e-02,1.667119587829389571e-02,2.549999999999989608e+00
2.839999999999999858e+00,1.569169544592670731e-02,1.565623709204056260e-02,2.539999999999989821e+00
2.850000000000000089e+00,1.458051519608880194e-02,1.464355086605658579e-02,2.529999999999990035e+00
2.859999999999999876e+00,1.348726335577931854e-02,1.364109723144676066e-02,2.519999999999990248e+00
2.870000000000000107e+00,1.242017255946152587e-02,1.265614907999360571e-02,2.509999999999990461e+00
2.879999999999999893e+00,1.138646891645361467e-02,1.169522745303125909e-02,2.499999999999990674e+00
2.890000000000000124e+00,1.039232993088434580e-02,1.076405674692069298e-02,2.489999999999990887e+00
